codigo,descricao_curta,Peso,altura,largura,comprimento,preco
316,TORNOZELEIRA CORACAO VAZADO C PINGENTE COR BANH OURO 18K -TR0473,,,,,"73,90"
317,TORNOZELEIRA CORACAO VAZADO C PINGENTE COR RODIO BRANCO - TR0473,,,,,"62,90"
318,TORNOZELEIRA CORRENTARIA BANH OURO 18K - TR00631,,,,,"95,00"
319,TORNOZELEIRA CORRENTARIA RODIO BRANCO - TR00631,,,,,"75,90"
320,TORNOZELEIRA DUPLA MALHA E CORR BANH OURO 18K - TR761,,,,,"110,00"
321,TORNOZELEIRA DUPLA MALHA E CORR RODIO BRANCO - TR751,,,,,"95,00"
322,TORNOZELEIRA PINGENTES LUA CORACAO E ESTRELA BANH OURO 18K- T122,,,,,"95,00"
323,TORNOZELEIRA PINGENTES LUA CORACAO E ESTRELA RODIO BRANCO - T122,,,,,"79,90"
324,BRINCO ARGOLA LARGA RETA PEQ BANH OURO 18K - BC1030,,,,,"67,90"
325,BRINCO 3 ARGOLAS TORTA DIAMANTADA BANH OURO 18K - B02117,,,,,"89,90"
326,BRINCO GOTA MEDIA BANHADO OURO - BR1078,,,,,"25,90"
327,BRINCO LUXO MODINHA TRABALHADO BANH OURO 18K - BR08691,,,,,"72,90"
328,BRINCO ARGOLA FINA ABERTA PEQ BANH OURO - B0185,,,,,"42,90"
329,BRINCO PEROLA GG BANH OURO 18K - BR2141,,,,,"26,90"
330,BRINCO ANZOL BOLA MEDIA BANH OURO 18K - BS785,,,,,"58,90"
331,BRINCO ARGOLA C PEROLA MD BANH OURO 18K - 9910033,,,,,"49,90"
332,BRINCO CORACAO VAZADO DUPLO BANH OURO - GFBR483,,,,,"52,90"
333,TRIO BRINCO ARGOLA ABERTA BANH OURO 18K - B205,,,,,"74,90"
334,BRINCO ARGOLA TORCIDA  BANH OURO 18K - B02181,,,,,"49,90"
335,BRINCO ARGOLA TRABALHADA ABERTA MEDIA BANH OURO 18K - B0149,,,,,"48,90"
336,BRINCO ESFERAS DUPLA BANH OURO 18K - BA165,,,,,"69,50"
337,BRINCO ARGOLA RETANGULAR ABERTA BANH OURO 18K - BR738,,,,,"69,90"
338,BRINCO 2 FIOS TORCIDOS BANH OURO 18K - BR01958,,,,,"74,90"
339,BRINCO ARGOLINHA C PEDRA REDONDA BANH OURO 18K - BR5320,,,,,"49,90"
340,BRINCO ANZOL COM ESFERA PQ BANH OURO 18K - BS7076,,,,,"42,90"
341,BRINCO CORACAO GG TRABALHADO BANH OURO 18K - BR7913,,,,,"89,90"
342,BRINCO ANZOL QUADRADO ZIRCONIA BANH OURO 18K - BA718,,,,,"79,90"
343,BRINCO MARTELADO QUADRADO BANH OURO 18K - BC939,,,,,"54,90"
344,BRINCO GOTA CRAVEJADA LUXO BANH OURO 18K - BZ612,,,,,"99,00"
345,BRINCO EAR CUFF ESTRELAS BANH OURO 18K - BR36,,,,,"52,90"
346,BRINCO ARGOLA FINA CLIC BANH OURO 18K - B00326,,,,,"42,90"
347,BRINCO PEROLA PEQUENO BANH OURO 18K - BR2143,,,,,"12,90"
348,BRINCO ANZOL COM ZIRCONIA REDONDA BANH OURO 18K - BZ28,,,,,"84,90"
352,BRINCO ARGOLINHA C ZIRCONIA TRIANGULO BANH OURO - 12695,,,,,"49,90"
353,BRINCO GOTA PEROLA LUXO GD BANH OURO 18K - BR08432,,,,,"119,90"
354,BRINCO GOTA C PEDRA LUXO BANH OURO 18K - BR08432,,,,,"119,90"
355,BRINCO ARGOLA TUBO CLICK BANH OURO 18K - T00037,,,,,"59,90"
356,BRINCO ARGOLA MEDIA GROSSA BANH OURO 18K - 12720,,,,,"54,90"
357,BRINCO ARGOLA TUBO GROSSA N14 BANH OURO 18K - B02022,,,,,"48,90"
358,BRINCO TREVO DOURADO E TREVO CRISTAL BANH OURO 18K - BR08670,,,,,"85,90"
360,TRIO BRINCO ARGOLA LARGA TRABALHADA BANH OURO 18K - 12220,,,,,"149,90"
361,BRINCO ARGOLA LARGA TRABALHADA ABERTA BANH OURO 18K - BR08520,,,,,"84,90"
362,CONJUNTO BRINCO ARGOLA LISA BANH OURO 18K - BRS236,,,,,"72,90"
364,BRINCO ARGOLA CORACAO ABERTO BANHO OURO 18K - BR07772,,,,,"62,90"
365,CONJUNTO ARGOLA LARGA BANH OURO 18K - EB799,,,,,"79,90"
367,BRINCO FE BANHADO OURO 18K - BR4350,,,,,"28,90"
369,CONJ COLAR E BRINCO CORACAO CRAVEJADO BANH OURO 18K - CJ0054,,,,,"145,90"
370,GARGANTILHA 3 FILHOS BANH OURO 18K - L1277,,,,,"119,90"
371,CONJUNTO C PEDRA QUADRADA BANH OURO 18K - CZ16,,,,,"129,90"
372,CONJUNTO COLAR E BRINCO PEDRA OVAL - CZ80,,,,,"109,90"
373,GARGANTILHA C PING ARVORE D VIDA CRAVEJ BANH OURO 18K - CL20024,,,,,"89,90"
374,CONJUNTO COLAR E BRINCO AMETISTA BANH OURO 18K - 12775,,,,,"179,00"
375,TRIO DE BRINCOS RETANGULAR BANH OURO 18K - EB866,,,,,"95,00"
376,BRINCO EAR CUFF CORACAO CRAQUELADO BANH OURO 18K - BR30,,,,,"89,00"
377,CONJUNTO COLAR E BRINCO C ZIRCONIAS BANH OURO 18K - GF8853,,,,,"169,90"
378,TRIO BRINCOS COLORIDOS BANH OURO 18K - TQ37,,,,,"52,90"
